net,length_um
_0140_,2.62µm
_0158_,2.62µm
_0167_,2.62µm
_0181_,2.62µm
_0201_,2.62µm
_0255_,2.62µm
_0417_,2.62µm
net345,2.62µm
_0246_,2.5µm
_0312_,2.5µm
_0340_,2.5µm
net216,2.5µm
net317,2.5µm
_0029_,2.38µm
_0308_,2.38µm
_0318_,2.38µm
_0003_,2.3µm
_0238_,2.3µm
_0276_,2.3µm
net148,2.3µm
net155,2.3µm
net183,2.3µm
net193,2.3µm
net227,2.3µm
net228,2.3µm
net238,2.3µm
net246,2.3µm
net323,2.3µm
net332,2.3µm
net335,2.3µm
net336,2.3µm
net366,2.3µm
_0039_,2.28µm
_0048_,2.28µm
_0062_,2.28µm
_0106_,2.28µm
_0117_,2.28µm
_0124_,2.28µm
_0165_,2.28µm
_0197_,2.28µm
net306,2.28µm
net319,2.28µm
net354,2.28µm
_0035_,2.16µm
_0157_,2.16µm
_0187_,2.16µm
_0364_,2.16µm
_0426_,2.16µm
_0469_,2.16µm
net213,2.16µm
net369,2.16µm
_0253_,2.04µm
_0482_,2.04µm
net350,2.04µm
net167,1.94µm
_0298_,1.84µm
_0468_,1.84µm
_0505_,1.84µm
net142,1.84µm
net202,1.84µm
net252,1.84µm
net288,1.84µm
net296,1.84µm
net304,1.84µm
net329,1.84µm
net334,1.84µm
net362,1.84µm
_0016_,1.82µm
_0027_,1.82µm
_0054_,1.82µm
_0074_,1.82µm
_0162_,1.82µm
_0465_,1.82µm
net284,1.82µm
_0374_,1.72µm
_0446_,1.72µm
_0004_,1.7µm
_0092_,1.7µm
_0108_,1.7µm
_0153_,1.7µm
_0377_,1.7µm
_0409_,1.7µm
_0453_,1.7µm
_0510_,1.7µm
_0524_,1.7µm
add_stage2.a\[4\],1.7µm
window0\[1\],1.7µm
window0\[7\],1.7µm
net270,1.7µm
net342,1.7µm
_0235_,1.6µm
_0357_,1.6µm
_0081_,1.545µm
_0344_,1.48µm
add_stage3.a\[1\],1.38µm
phase\[4\],1.38µm
_0109_,1.36µm
net154,1.36µm
net172,1.36µm
net293,1.36µm
_0272_,0.92µm
_0324_,0.92µm
window0\[2\],0.92µm
_0089_,0.8µm
_0095_,0.8µm
net241,0.46µm
